Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
8ppn-flush-end,4,121,1.99,1.72,0.27
8ppn-flush-end,4,122,1.99,1.72,0.27
8ppn-flush-end,4,123,2.0,1.73,0.27
8ppn-flush-end,4,124,2.07,1.81,0.26
8ppn-flush-end,4,125,2.01,1.74,0.27
8ppn-flush-end,4,126,2.73,1.74,0.99
8ppn-flush-end,4,127,2.0,1.74,0.26
8ppn-flush-end,4,128,3.88,1.74,2.14
8ppn-flush-end,4,129,2.0,1.74,0.26
8ppn-flush-end,4,130,2.83,1.73,1.1
8ppn-flush-end,4,131,2.08,1.72,0.36
8ppn-flush-end,4,132,1.99,1.72,0.27
8ppn-flush-end,4,133,,,0.26
8ppn-flush-end,5,1,2.43,1.74,0.69
8ppn-flush-end,5,2,2.03,1.76,0.27
