Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
1ppn-all-1sec,3,128,2.21,1.76,0.45
1ppn-all-1sec,3,129,2.07,1.73,0.34
1ppn-all-1sec,3,130,2.12,1.73,0.39
1ppn-all-1sec,3,131,2.1,1.73,0.37
1ppn-all-1sec,3,132,2.94,1.72,1.22
1ppn-all-1sec,3,133,,,0.67
1ppn-all-1sec,4,1,2.64,1.96,0.68
1ppn-all-1sec,4,2,2.01,1.75,0.26
1ppn-all-1sec,4,3,2.02,1.73,0.29
1ppn-all-1sec,4,4,2.03,1.73,0.3
1ppn-all-1sec,4,5,2.16,1.82,0.34
1ppn-all-1sec,4,6,2.2,1.87,0.33
1ppn-all-1sec,4,7,2.11,1.77,0.34
1ppn-all-1sec,4,8,2.18,1.73,0.45
1ppn-all-1sec,4,9,2.08,1.74,0.34
1ppn-all-1sec,4,10,2.06,1.75,0.31
1ppn-all-1sec,4,11,2.15,1.78,0.37
1ppn-all-1sec,4,12,2.28,1.91,0.37
1ppn-all-1sec,4,13,2.14,1.76,0.38
1ppn-all-1sec,4,14,2.04,1.73,0.31
1ppn-all-1sec,4,15,2.13,1.74,0.39
1ppn-all-1sec,4,16,2.04,1.73,0.31
1ppn-all-1sec,4,17,2.08,1.76,0.32
1ppn-all-1sec,4,18,2.13,1.77,0.36
1ppn-all-1sec,4,19,2.11,1.8,0.31
1ppn-all-1sec,4,20,2.08,1.73,0.35
1ppn-all-1sec,4,21,2.08,1.74,0.34
1ppn-all-1sec,4,22,2.11,1.75,0.36
1ppn-all-1sec,4,23,2.07,1.73,0.34
1ppn-all-1sec,4,24,2.09,1.75,0.34
1ppn-all-1sec,4,25,2.01,1.73,0.28
1ppn-all-1sec,4,26,2.15,1.78,0.37
1ppn-all-1sec,4,27,2.12,1.82,0.3
1ppn-all-1sec,4,28,2.09,1.75,0.34
1ppn-all-1sec,4,29,2.03,1.74,0.29
1ppn-all-1sec,4,30,2.09,1.8,0.29
1ppn-all-1sec,4,31,2.16,1.74,0.42
1ppn-all-1sec,4,32,2.11,1.78,0.33
1ppn-all-1sec,4,33,2.07,1.75,0.32
1ppn-all-1sec,4,34,2.08,1.73,0.35
1ppn-all-1sec,4,35,2.09,1.73,0.36
1ppn-all-1sec,4,36,2.14,1.79,0.35
1ppn-all-1sec,4,37,2.1,1.81,0.29
1ppn-all-1sec,4,38,2.07,1.74,0.33
1ppn-all-1sec,4,39,2.09,1.73,0.36
1ppn-all-1sec,4,40,2.05,1.72,0.33
1ppn-all-1sec,4,41,2.17,1.75,0.42
1ppn-all-1sec,4,42,2.09,1.73,0.36
1ppn-all-1sec,4,43,2.07,1.73,0.34
1ppn-all-1sec,4,44,2.12,1.76,0.36
1ppn-all-1sec,4,45,2.12,1.75,0.37
1ppn-all-1sec,4,46,2.05,1.73,0.32
1ppn-all-1sec,4,47,2.07,1.75,0.32
1ppn-all-1sec,4,48,2.11,1.77,0.34
1ppn-all-1sec,4,49,2.2,1.81,0.39
1ppn-all-1sec,4,50,2.09,1.75,0.34
1ppn-all-1sec,4,51,2.24,1.76,0.48
1ppn-all-1sec,4,52,2.27,1.87,0.4
1ppn-all-1sec,4,53,2.16,1.73,0.43
1ppn-all-1sec,4,54,2.05,1.73,0.32
1ppn-all-1sec,4,55,2.07,1.72,0.35
1ppn-all-1sec,4,56,2.09,1.74,0.35
1ppn-all-1sec,4,57,2.01,1.74,0.27
1ppn-all-1sec,4,58,2.09,1.74,0.35
1ppn-all-1sec,4,59,2.04,1.76,0.28
1ppn-all-1sec,4,60,2.1,1.74,0.36
1ppn-all-1sec,4,61,2.07,1.73,0.34
1ppn-all-1sec,4,62,2.11,1.8,0.31
1ppn-all-1sec,4,63,2.08,1.77,0.31
1ppn-all-1sec,4,64,2.09,1.75,0.34
1ppn-all-1sec,4,65,2.03,1.73,0.3
1ppn-all-1sec,4,66,2.09,1.73,0.36
1ppn-all-1sec,4,67,2.06,1.72,0.34
1ppn-all-1sec,4,68,2.06,1.73,0.33
1ppn-all-1sec,4,69,2.04,1.72,0.32
1ppn-all-1sec,4,70,2.08,1.74,0.34
1ppn-all-1sec,4,71,2.08,1.73,0.35
1ppn-all-1sec,4,72,2.07,1.73,0.34
1ppn-all-1sec,4,73,2.08,1.73,0.35
1ppn-all-1sec,4,74,2.03,1.74,0.29
1ppn-all-1sec,4,75,2.0,1.73,0.27
1ppn-all-1sec,4,76,2.24,1.79,0.45
1ppn-all-1sec,4,77,2.21,1.77,0.44
1ppn-all-1sec,4,78,2.08,1.73,0.35
1ppn-all-1sec,4,79,2.16,1.75,0.41
1ppn-all-1sec,4,80,2.1,1.77,0.33
1ppn-all-1sec,4,81,2.17,1.83,0.34
1ppn-all-1sec,4,82,2.06,1.73,0.33
1ppn-all-1sec,4,83,2.06,1.73,0.33
1ppn-all-1sec,4,84,2.05,1.72,0.33
1ppn-all-1sec,4,85,2.0,1.73,0.27
1ppn-all-1sec,4,86,2.07,1.73,0.34
1ppn-all-1sec,4,87,2.08,1.73,0.35
1ppn-all-1sec,4,88,2.05,1.73,0.32
1ppn-all-1sec,4,89,2.07,1.73,0.34
1ppn-all-1sec,4,90,2.07,1.73,0.34
1ppn-all-1sec,4,91,2.1,1.75,0.35
1ppn-all-1sec,4,92,2.08,1.73,0.35
1ppn-all-1sec,4,93,2.05,1.73,0.32
1ppn-all-1sec,4,94,2.08,1.74,0.34
1ppn-all-1sec,4,95,2.07,1.75,0.32
1ppn-all-1sec,4,96,2.05,1.74,0.31
1ppn-all-1sec,4,97,2.08,1.74,0.34
1ppn-all-1sec,4,98,2.07,1.73,0.34
1ppn-all-1sec,4,99,2.11,1.77,0.34
1ppn-all-1sec,4,100,2.14,1.76,0.38
1ppn-all-1sec,4,101,2.07,1.74,0.33
1ppn-all-1sec,4,102,2.12,1.77,0.35
1ppn-all-1sec,4,103,2.18,1.78,0.4
1ppn-all-1sec,4,104,2.11,1.74,0.37
1ppn-all-1sec,4,105,2.11,1.84,0.27
1ppn-all-1sec,4,106,2.17,1.74,0.43
1ppn-all-1sec,4,107,2.12,1.73,0.39
1ppn-all-1sec,4,108,2.06,1.75,0.31
1ppn-all-1sec,4,109,2.08,1.72,0.36
1ppn-all-1sec,4,110,2.11,1.78,0.33
1ppn-all-1sec,4,111,2.03,1.73,0.3
1ppn-all-1sec,4,112,2.16,1.74,0.42
1ppn-all-1sec,4,113,2.13,1.74,0.39
1ppn-all-1sec,4,114,2.08,1.72,0.36
1ppn-all-1sec,4,115,2.08,1.73,0.35
