Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
no-io,5,105,1.75,1.75,0
no-io,5,106,1.74,1.74,0
no-io,5,107,1.73,1.73,0
no-io,5,108,1.73,1.73,0
no-io,5,109,1.75,1.75,0
no-io,5,110,1.73,1.73,0
no-io,5,111,1.72,1.72,0
no-io,5,112,1.73,1.73,0
no-io,5,113,1.81,1.81,0
no-io,5,114,1.79,1.79,0
no-io,5,115,1.73,1.73,0
no-io,5,116,1.73,1.73,0
no-io,5,117,1.76,1.76,0
no-io,5,118,1.73,1.73,0
no-io,5,119,1.73,1.73,0
no-io,5,120,1.72,1.72,0
no-io,5,121,1.74,1.74,0
no-io,5,122,1.76,1.76,0
no-io,5,123,1.75,1.75,0
no-io,5,124,1.73,1.73,0
no-io,5,125,1.73,1.73,0
no-io,5,126,1.74,1.74,0
no-io,5,127,1.73,1.73,0
no-io,5,128,1.73,1.73,0
no-io,5,129,1.72,1.72,0
no-io,5,130,1.76,1.76,0
no-io,5,131,1.86,1.86,0
no-io,5,132,1.73,1.73,0
no-io,5,133,,0.0,0
no-io,6,1,1.86,1.86,0
no-io,6,2,1.77,1.77,0
no-io,6,3,1.73,1.73,0
no-io,6,4,1.75,1.75,0
no-io,6,5,1.74,1.74,0
no-io,6,6,1.73,1.73,0
no-io,6,7,1.86,1.86,0
no-io,6,8,1.79,1.79,0
no-io,6,9,1.75,1.75,0
no-io,6,10,1.74,1.74,0
no-io,6,11,1.76,1.76,0
no-io,6,12,1.8,1.8,0
no-io,6,13,1.78,1.78,0
no-io,6,14,1.73,1.73,0
no-io,6,15,1.74,1.74,0
no-io,6,16,1.75,1.75,0
no-io,6,17,1.72,1.72,0
no-io,6,18,1.76,1.76,0
no-io,6,19,1.93,1.93,0
no-io,6,20,1.76,1.76,0
no-io,6,21,1.76,1.76,0
no-io,6,22,1.73,1.73,0
no-io,6,23,1.73,1.73,0
no-io,6,24,1.73,1.73,0
no-io,6,25,1.73,1.73,0
no-io,6,26,1.75,1.75,0
no-io,6,27,1.85,1.85,0
no-io,6,28,1.77,1.77,0
no-io,6,29,1.73,1.73,0
no-io,6,30,1.74,1.74,0
no-io,6,31,1.73,1.73,0
no-io,6,32,1.76,1.76,0
no-io,6,33,1.74,1.74,0
no-io,6,34,1.73,1.73,0
no-io,6,35,1.73,1.73,0
no-io,6,36,1.8,1.8,0
no-io,6,37,1.85,1.85,0
no-io,6,38,1.75,1.75,0
no-io,6,39,1.73,1.73,0
no-io,6,40,1.75,1.75,0
no-io,6,41,1.73,1.73,0
no-io,6,42,1.74,1.74,0
no-io,6,43,1.73,1.73,0
no-io,6,44,1.78,1.78,0
no-io,6,45,1.76,1.76,0
no-io,6,46,1.73,1.73,0
no-io,6,47,1.73,1.73,0
no-io,6,48,1.73,1.73,0
no-io,6,49,1.86,1.86,0
no-io,6,50,1.74,1.74,0
no-io,6,51,1.74,1.74,0
no-io,6,52,1.73,1.73,0
no-io,6,53,1.78,1.78,0
no-io,6,54,1.74,1.74,0
no-io,6,55,1.73,1.73,0
no-io,6,56,1.73,1.73,0
no-io,6,57,1.74,1.74,0
no-io,6,58,1.74,1.74,0
no-io,6,59,1.73,1.73,0
no-io,6,60,1.73,1.73,0
no-io,6,61,1.75,1.75,0
no-io,6,62,1.79,1.79,0
no-io,6,63,1.85,1.85,0
no-io,6,64,1.73,1.73,0
no-io,6,65,1.74,1.74,0
no-io,6,66,1.75,1.75,0
no-io,6,67,1.73,1.73,0
no-io,6,68,1.73,1.73,0
no-io,6,69,1.73,1.73,0
no-io,6,70,1.8,1.8,0
no-io,6,71,1.75,1.75,0
no-io,6,72,1.73,1.73,0
no-io,6,73,1.73,1.73,0
no-io,6,74,1.74,1.74,0
no-io,6,75,1.73,1.73,0
no-io,6,76,1.73,1.73,0
no-io,6,77,1.73,1.73,0
no-io,6,78,1.73,1.73,0
no-io,6,79,1.9,1.9,0
no-io,6,80,1.74,1.74,0
no-io,6,81,1.73,1.73,0
no-io,6,82,1.74,1.74,0
no-io,6,83,1.75,1.75,0
no-io,6,84,1.73,1.73,0
no-io,6,85,1.73,1.73,0
no-io,6,86,1.73,1.73,0
no-io,6,87,1.77,1.77,0
no-io,6,88,1.75,1.75,0
no-io,6,89,1.73,1.73,0
no-io,6,90,1.73,1.73,0
no-io,6,91,1.74,1.74,0
no-io,6,92,1.74,1.74,0
no-io,6,93,1.73,1.73,0
no-io,6,94,1.73,1.73,0
no-io,6,95,1.73,1.73,0
no-io,6,96,1.89,1.89,0
no-io,6,97,1.76,1.76,0
no-io,6,98,1.73,1.73,0
no-io,6,99,1.73,1.73,0
no-io,6,100,1.76,1.76,0
no-io,6,101,1.73,1.73,0
no-io,6,102,1.73,1.73,0
no-io,6,103,1.73,1.73,0
no-io,6,104,1.77,1.77,0
no-io,6,105,1.75,1.75,0
no-io,6,106,1.74,1.74,0
